x;y
2.42;0.821226
2.43;0.754693
2.44;0.882797
2.45;0.698617
2.46;0.837305
2.47;0.635855
2.48;0.752369
2.49;0.838448
2.5;0.823118
2.51;0.802978
2.52;0.698036
2.53;0.635713
2.54;0.768992
2.55;0.766736
2.56;0.792932
2.57;0.65043
2.58;0.779348
2.59;0.591449
2.6;0.822473
2.61;0.735159
2.62;0.715972
2.63;0.575322
2.64;0.658303
2.65;0.501245
2.66;0.550024
2.67;0.746767
2.68;0.674083
2.69;0.467646
2.7;0.464472
2.71;0.538852
2.72;0.601444
2.73;0.597807
2.74;0.61307
2.75;0.47792
2.76;0.630988
2.77;0.459226
2.78;0.463645
2.79;0.407644
2.8;0.663109
2.81;0.326742
2.82;0.591875
2.83;0.417068
2.84;0.359775
2.85;0.432977
2.86;0.597432
2.87;0.574576
2.88;0.513576
2.89;0.481972
2.9;0.27963
2.91;0.458123
2.92;0.347728
2.93;0.468108
2.94;0.51458
2.95;0.495847
2.96;0.467902
2.97;0.238601
2.98;0.425443
2.99;0.333693
3;0.240216
3.01;0.432857
3.02;0.424508
3.03;0.402688
3.04;0.267466
3.05;0.283531
3.06;0.135754
3.07;0.162835
3.08;0.349747
3.09;0.215703
3.1;0.196135
3.11;0.314568
3.12;0.186917
3.13;0.10861
3.14;0.0617331
3.15;0.219652
3.16;0.22411
3.17;0.0179492
3.18;0.162638
3.19;0.115752
3.2;0.221004
3.21;0.173063
3.22;-0.0189245
3.23;-0.0143037
3.24;0.0679266
3.25;-0.0677755
3.26;-0.0720514
3.27;-0.00790723
3.28;-0.0296969
3.29;0.162769
3.3;0.145083
3.31;0.0397527
3.32;0.10148
3.33;0.0854145
3.34;-0.03175
3.35;-0.0952447
3.36;-0.0852327
3.37;-0.00681613
3.38;-0.0331944
3.39;-0.159558
3.4;-0.205131
3.41;-0.241014
3.42;-0.238875
3.43;-0.0686899
3.44;-0.172799
3.45;-0.207452
3.46;-0.202592
3.47;-0.292153
3.48;-0.189543
3.49;-0.0299031
3.5;-0.15626
3.51;-0.271643
3.52;-0.149859
3.53;-0.124789
3.54;-0.225475
3.55;-0.344724
3.56;-0.11196
3.57;-0.206868
3.58;-0.251926
3.59;-0.36425
3.6;-0.256667
3.61;-0.309399
3.62;-0.18372
3.63;-0.337757
3.64;-0.396585
3.65;-0.378115
3.66;-0.252377
3.67;-0.291274
3.68;-0.184488
3.69;-0.408581
3.7;-0.230649
3.71;-0.492932
3.72;-0.409762
3.73;-0.553234
3.74;-0.302233
3.75;-0.313433
3.76;-0.481846
3.77;-0.549634
3.78;-0.307406
3.79;-0.363582
3.8;-0.59547
3.81;-0.470035
3.82;-0.298731
3.83;-0.399338
3.84;-0.572704
3.85;-0.49266
3.86;-0.369793
3.87;-0.634375
3.88;-0.639925
3.89;-0.552841
3.9;-0.587178
3.91;-0.475951
3.92;-0.432448
3.93;-0.665331
3.94;-0.699076
3.95;-0.705381
3.96;-0.577486
3.97;-0.476566
3.98;-0.512887
3.99;-0.602708
4;-0.717099
4.01;-0.566755
4.02;-0.576845
4.03;-0.599435
4.04;-0.583987
4.05;-0.667886
4.06;-0.693207
4.07;-0.504426
4.08;-0.647756
4.09;-0.755881
4.1;-0.615034
4.11;-0.648735
4.12;-0.623301
4.13;-0.636419
4.14;-0.762724
4.15;-0.569381
4.16;-0.82791
4.17;-0.823532
4.18;-0.553688
4.19;-0.81008
4.2;-0.710998
4.21;-0.801271
4.22;-0.605616
4.23;-0.788946
4.24;-0.771419
4.25;-0.60223
4.26;-0.784655
4.27;-0.632095
4.28;-0.688252
4.29;-0.900003
4.3;-0.830343
4.31;-0.660709
4.32;-0.715343
4.33;-0.649075
4.34;-0.828742
4.35;-0.861383
4.36;-0.872544
4.37;-0.737808
4.38;-0.908688
4.39;-0.723613
4.4;-0.690848
4.41;-0.714807
4.42;-0.890774
4.43;-0.826663
4.44;-0.857912
4.45;-0.821104
4.46;-0.89132
4.47;-0.842185
4.48;-0.795504
4.49;-0.923799
4.5;-0.792398
4.51;-0.974729
4.52;-0.854812
4.53;-0.856024
4.54;-0.883375
4.55;-0.741041
4.56;-0.901596
4.57;-0.773327
4.58;-0.807144
4.59;-0.68599
4.6;-0.765029
4.61;-0.724834
4.62;-0.763119
4.63;-0.892624
4.64;-0.782085
4.65;-0.996053
4.66;-0.820975
4.67;-0.717799
4.68;-0.793327
4.69;-0.785519
4.7;-0.827085
4.71;-0.866427
4.72;-0.879253
4.73;-0.760223
4.74;-0.73232
4.75;-0.773355
4.76;-0.947908
4.77;-0.987377
4.78;-0.976528
4.79;-0.768416
4.8;-0.933626
4.81;-0.78892
4.82;-0.760782
4.83;-0.803815
4.84;-0.991494
4.85;-0.988643
4.86;-0.887379
4.87;-0.900415
4.88;-0.76753
4.89;-0.698417
4.9;-0.922066
4.91;-0.866754
4.92;-0.756079
4.93;-0.683413
4.94;-0.75644
4.95;-0.867493
4.96;-0.674496
4.97;-0.904913
4.98;-0.912026
4.99;-0.793893
5;-0.682605
5.01;-0.730822
5.02;-0.65167
5.03;-0.88628
5.04;-0.815307
5.05;-0.708193
5.06;-0.650548
5.07;-0.75427
5.08;-0.686869
5.09;-0.61872
5.1;-0.848108
5.11;-0.61313
5.12;-0.734256
5.13;-0.60292
5.14;-0.745157
5.15;-0.721577
5.16;-0.588441
5.17;-0.630562
5.18;-0.621268
5.19;-0.68993
5.2;-0.664388
5.21;-0.546959
5.22;-0.561958
5.23;-0.760823
5.24;-0.572576
5.25;-0.662549
5.26;-0.64118
5.27;-0.595414
5.28;-0.584714
5.29;-0.572799
5.3;-0.744673
5.31;-0.625223
5.32;-0.66416
5.33;-0.759613
5.34;-0.544269
5.35;-0.515158
5.36;-0.50652
5.37;-0.569983
5.38;-0.647809
5.39;-0.575079
5.4;-0.573798
5.41;-0.551179
5.42;-0.580398
5.43;-0.703932
5.44;-0.553758
5.45;-0.72909
5.46;-0.499678
5.47;-0.553763
5.48;-0.442035
5.49;-0.540909
5.5;-0.667991
5.51;-0.535148
5.52;-0.52111
5.53;-0.667799
5.54;-0.405186
5.55;-0.54102
5.56;-0.449224
5.57;-0.503539
5.58;-0.598657
5.59;-0.501298
5.6;-0.548922
5.61;-0.487891
5.62;-0.609811
5.63;-0.36852
5.64;-0.408507
5.65;-0.320733
5.66;-0.389397
5.67;-0.426561
5.68;-0.408148
5.69;-0.227283
5.7;-0.531111
5.71;-0.517558
5.72;-0.320293
5.73;-0.326307
5.74;-0.442665
5.75;-0.435016
5.76;-0.289561
5.77;-0.183117
5.78;-0.236239
5.79;-0.31915
5.8;-0.318415
5.81;-0.172195
5.82;-0.129246
5.83;-0.121528
5.84;-0.129124
5.85;-0.164093
5.86;-0.299477
5.87;-0.222614
5.88;-0.319305
5.89;-0.223949
5.9;-0.0572699
5.91;-0.209194
5.92;-0.060481
5.93;-0.0234626
5.94;-0.275233
5.95;-0.174375
5.96;-0.0575139
5.97;-0.052608
5.98;0.00303209
5.99;-0.203141
6;-0.0255447
6.01;0.0513683
6.02;-0.149542
6.03;-0.116363
6.04;-0.0538673
6.05;-0.0462617
6.06;-0.0139482
6.07;-0.147898
6.08;-0.0424698
6.09;-0.0719509
6.1;0.0357975
6.11;0.133187
6.12;-0.0922315
6.13;0.0495938
6.14;0.145781
6.15;-0.0961993
6.16;0.00164462
6.17;-0.0466095
6.18;0.112504
6.19;0.104513
6.2;0.142429
6.21;0.12566
6.22;-0.0435231
6.23;0.133797
6.24;0.144701
6.25;0.0476961
6.26;-0.0168796
6.27;0.101429
6.28;-0.000160823
6.29;0.314712
6.3;0.217289
6.31;0.283707
6.32;0.332539
6.33;0.357888
6.34;0.114472
6.35;0.216092
6.36;0.239313
6.37;0.351783
6.38;0.309667
6.39;0.428506
6.4;0.168328
6.41;0.224105
6.42;0.430456
6.43;0.268297
6.44;0.455983
6.45;0.415255
6.46;0.334497
6.47;0.276726
6.48;0.511093
6.49;0.246119
6.5;0.50368
6.51;0.432606
6.52;0.474163
6.53;0.552496
6.54;0.315356
6.55;0.357755
6.56;0.329015
6.57;0.350557
6.58;0.501184
6.59;0.36077
6.6;0.353764
6.61;0.396879
6.62;0.646124
6.63;0.344526
6.64;0.402899
6.65;0.39864
6.66;0.52191
6.67;0.593422
6.68;0.691556
6.69;0.429305
6.7;0.609592
6.71;0.437492
6.72;0.554304
6.73;0.597572
6.74;0.58662
6.75;0.54777
6.76;0.540308
6.77;0.771943
6.78;0.665349
6.79;0.548965
6.8;0.505685
6.81;0.64673
6.82;0.782703
6.83;0.771097
6.84;0.647279
6.85;0.869604
6.86;0.557246
6.87;0.728228
6.88;0.628993
6.89;0.790851
6.9;0.811702
6.91;0.695773
6.92;0.891085
6.93;0.818218
6.94;0.724425
6.95;0.635209
6.96;0.88188
6.97;0.901854
6.98;0.874683
6.99;0.876722
7;0.958382
7.01;0.768806
7.02;0.922758
7.03;0.778616
7.04;0.956399
7.05;0.756866
7.06;0.898048
7.07;0.725921
7.08;0.748951
7.09;0.774512
7.1;0.810352
7.11;0.781168
7.12;0.938886
7.13;0.768525
7.14;1.05228
7.15;1.07744
7.16;0.78738
7.17;1.08347
7.18;0.937693
7.19;0.873201
7.2;0.989338
7.21;0.855991
7.22;1.00054
7.23;0.970343
7.24;1.08921
7.25;1.13177
7.26;1.00423
7.27;1.02836
7.28;1.08288
7.29;0.920212
7.3;0.938494
7.31;1.06685
7.32;1.04018
7.33;0.871384
7.34;1.1813
7.35;0.991515
7.36;0.949023
7.37;1.05936
7.38;1.02342
7.39;0.996667
7.4;1.12534
7.41;1.11809
7.42;1.05508
7.43;1.00113
7.44;1.14992
7.45;1.03047
7.46;0.994896
7.47;1.18025
7.48;1.01692
7.49;1.16234
7.5;0.943392
7.51;1.22313
7.52;1.22888
7.53;1.14823
7.54;1.05827
7.55;1.17681
7.56;1.13271
7.57;1.24261
7.58;1.0461
7.59;1.05077
7.6;0.992332
7.61;1.14184
7.62;1.26936
7.63;1.17882
7.64;1.1542
7.65;1.25304
7.66;1.3009
7.67;1.22871
7.68;1.09956
7.69;1.10657
7.7;1.00281
7.71;0.997607
7.72;0.99273
7.73;1.15474
7.74;1.09114
7.75;1.23069
7.76;1.26897
7.77;1.16561
7.78;1.15309
7.79;1.02404
7.8;1.0622
7.81;1.16025
7.82;1.30722
7.83;1.01418
7.84;1.02804
7.85;1.08161
7.86;1.2371
7.87;1.20362
7.88;1.03061
7.89;1.31987
7.9;1.2881
7.91;1.0538
7.92;1.15647
7.93;1.24954
7.94;1.25547
7.95;0.99772
7.96;1.18726
7.97;1.23876
7.98;1.23998
7.99;1.29829
8;1.02149
8.01;1.2504
8.02;1.30173
8.03;1.01838
8.04;1.07438
8.05;1.06062
8.06;1.24877
8.07;1.00844
8.08;1.22348
8.09;1.06468
8.1;1.02766
8.11;1.27998
8.12;1.21845
8.13;0.994375
8.14;1.28641
8.15;1.23826
8.16;1.06739
8.17;1.1813
8.18;1.0995
8.19;1.08887
8.2;1.15874
8.21;1.04529
8.22;1.13392
8.23;0.973459
8.24;0.953504
8.25;1.0486
8.26;0.964353
8.27;1.13466
8.28;0.948771
8.29;1.2
8.3;1.09632
8.31;0.968101
8.32;1.11614
8.33;1.06512
8.34;0.988314
8.35;1.19389
8.36;1.13075
8.37;0.910486
8.38;0.877568
8.39;1.03139
8.4;0.987699
8.41;0.919885
8.42;0.994926
8.43;0.892025
8.44;0.935898
8.45;0.972163
8.46;0.823734
8.47;1.03278
8.48;0.852441
8.49;0.95845
8.5;0.826549
8.51;1.05251
8.52;1.04827
8.53;1.0083
8.54;1.07718
8.55;1.05647
8.56;0.781843
8.57;0.770153
8.58;0.923515
8.59;0.800192
8.6;1.04369
8.61;0.764081
8.62;0.850009
8.63;0.912439
8.64;0.919471
8.65;0.933004
8.66;0.872181
8.67;0.820665
8.68;0.951951
8.69;0.862982
8.7;0.970153
8.71;0.729358
8.72;0.910946
8.73;0.764948
8.74;0.759797
8.75;0.657221
8.76;0.886204
8.77;0.738091
8.78;0.850113
8.79;0.904392
8.8;0.868008
8.81;0.853931
8.82;0.806723
8.83;0.772059
8.84;0.72406
8.85;0.751868
8.86;0.702695
8.87;0.719692
8.88;0.742175
8.89;0.519475
8.9;0.753003
8.91;0.692244
8.92;0.529947
8.93;0.522817
8.94;0.531311
8.95;0.716278
8.96;0.729651
8.97;0.684367
8.98;0.491599
8.99;0.643445
9;0.516448
9.01;0.438179
9.02;0.689959
9.03;0.418681
9.04;0.535279
9.05;0.456173
9.06;0.423316
9.07;0.443294
9.08;0.557202
9.09;0.644226
9.1;0.393071
9.11;0.478577
9.12;0.559569
9.13;0.602644
9.14;0.328317
9.15;0.369534
9.16;0.448697
9.17;0.46687
9.18;0.533479
9.19;0.310243
9.2;0.447555
9.21;0.422917
9.22;0.480868
9.23;0.464548
9.24;0.441495
9.25;0.183374
9.26;0.360836
9.27;0.360021
9.28;0.398861
9.29;0.392514
9.3;0.219218
9.31;0.140111
9.32;0.397923
9.33;0.15221
9.34;0.144339
9.35;0.194637
9.36;0.212414
9.37;0.180987
9.38;0.260604
9.39;0.0683328
9.4;0.133346
9.41;0.304591
9.42;0.207311
9.43;0.0295027
9.44;0.253375
9.45;0.224687
9.46;0.0977104
9.47;0.0770588
9.48;0.0762189
9.49;0.025554
9.5;0.12473
9.51;-0.062374
9.52;0.205438
9.53;0.0390384
9.54;0.178777
9.55;0.100055
9.56;0.0187402
9.57;0.0125008
9.58;-0.0571222
9.59;-0.0896662
9.6;-0.092303
9.61;0.00807556
9.62;-0.0935947
9.63;-0.161758
9.64;0.03625
9.65;-0.063271
9.66;-0.0711037
9.67;-0.17861
9.68;0.0338284
9.69;-0.217661
9.7;-0.174037
9.71;-0.219845
9.72;-0.29001
9.73;-0.000247689
9.74;-0.213777
9.75;-0.0499803
9.76;-0.112149
9.77;-0.10923
9.78;-0.289328
9.79;-0.342247
9.8;-0.0465737
9.81;-0.117412
9.82;-0.347358
9.83;-0.107134
9.84;-0.334308
9.85;-0.0811244
9.86;-0.242907
9.87;-0.208022
9.88;-0.284383
9.89;-0.172439
9.9;-0.160095
9.91;-0.229103
9.92;-0.340138
9.93;-0.419504
9.94;-0.213399
9.95;-0.449835
9.96;-0.285483
9.97;-0.410657
9.98;-0.4114
9.99;-0.358099
10;-0.391608
10.01;-0.338929
10.02;-0.321662
10.03;-0.415589
10.04;-0.39676
10.05;-0.58333
10.06;-0.503795
10.07;-0.537499
10.08;-0.378212
10.09;-0.469201
10.1;-0.546284
10.11;-0.415149
10.12;-0.567504
10.13;-0.531762
10.14;-0.484334
10.15;-0.521164
10.16;-0.556245
10.17;-0.661313
10.18;-0.65401
10.19;-0.422912
10.2;-0.40687
10.21;-0.378101
10.22;-0.540265
10.23;-0.626225
10.24;-0.667832
10.25;-0.61495
10.26;-0.595115
10.27;-0.463524
10.28;-0.527017
10.29;-0.499177
10.3;-0.63892
10.31;-0.727276
10.32;-0.638163
10.33;-0.752099
10.34;-0.592563
10.35;-0.47619
10.36;-0.76832
10.37;-0.52093
10.38;-0.763334
10.39;-0.554641
10.4;-0.723431
10.41;-0.7015
10.42;-0.686983
10.43;-0.666834
10.44;-0.601262
10.45;-0.531482
10.46;-0.540391
10.47;-0.835527
10.48;-0.863174
10.49;-0.857205
10.5;-0.580401
10.51;-0.584567
10.52;-0.875791
10.53;-0.753849
10.54;-0.836742
10.55;-0.829079
10.56;-0.647164
10.57;-0.703205
10.58;-0.890339
10.59;-0.765046
10.6;-0.786449
10.61;-0.77327
10.62;-0.729688
10.63;-0.655408
10.64;-0.749671
10.65;-0.87347
10.66;-0.676479
10.67;-0.72328
10.68;-0.926844
10.69;-0.632824
10.7;-0.798247
10.71;-0.83133
10.72;-0.842857
10.73;-0.654657
10.74;-0.661901
10.75;-0.935583
10.76;-0.672082
10.77;-0.682798
10.78;-0.91293
10.79;-0.671809
10.8;-0.671377
10.81;-0.952945
10.82;-0.710985
10.83;-0.663526
10.84;-0.818323
10.85;-0.987847
10.86;-0.928075
10.87;-0.896396
10.88;-0.784156
10.89;-0.907137
10.9;-0.745877
10.91;-0.984175
10.92;-0.756538
10.93;-0.881016
10.94;-0.70778
10.95;-0.903912
10.96;-0.815121
10.97;-0.774588
10.98;-0.680642
10.99;-0.791965
11;-0.787388
11.01;-0.855605
11.02;-0.996846
11.03;-0.667394
11.04;-0.877771
11.05;-0.690046
11.06;-0.96483
11.07;-0.909024
11.08;-0.72943
11.09;-0.898526
11.1;-0.932543
11.11;-0.750227
11.12;-0.865365
11.13;-0.98866
11.14;-0.75689
11.15;-0.691596
11.16;-0.982619
11.17;-0.689378
11.18;-0.924142
11.19;-0.768093
11.2;-0.929768
11.21;-0.668639
11.22;-0.749691
11.23;-0.68263
11.24;-0.878315
11.25;-0.785234
11.26;-0.913509
11.27;-0.686374
11.28;-0.885497
11.29;-0.919332
11.3;-0.803126
11.31;-0.664046
11.32;-0.765906
11.33;-0.790849
11.34;-0.655661
11.35;-0.634675
11.36;-0.805439
11.37;-0.612014
11.38;-0.868969
11.39;-0.860653
11.4;-0.836939
11.41;-0.795293
11.42;-0.605477
11.43;-0.697819
11.44;-0.780485
11.45;-0.69335
11.46;-0.721615
11.47;-0.763289
11.48;-0.717664
11.49;-0.648878
11.5;-0.869453
11.51;-0.653887
11.52;-0.659122
11.53;-0.629331
11.54;-0.682052
11.55;-0.551752
11.56;-0.764424
11.57;-0.614398
11.58;-0.592704
11.59;-0.673673
11.6;-0.560085
11.61;-0.758219
11.62;-0.702907
11.63;-0.694074
11.64;-0.586809
11.65;-0.73273
11.66;-0.706095
11.67;-0.772874
11.68;-0.728744
11.69;-0.6292
11.7;-0.691227
11.71;-0.627042
11.72;-0.489604
11.73;-0.698995
11.74;-0.73109
11.75;-0.68035
11.76;-0.473395
11.77;-0.537972
11.78;-0.533212
11.79;-0.618365
11.8;-0.618644
11.81;-0.505705
11.82;-0.37996
11.83;-0.390232
11.84;-0.585682
11.85;-0.517594
11.86;-0.402588
11.87;-0.482488
11.88;-0.602903
11.89;-0.471486
11.9;-0.304389
11.91;-0.316671
11.92;-0.388927
11.93;-0.505474
11.94;-0.514628
11.95;-0.485409
11.96;-0.420415
11.97;-0.408887
11.98;-0.452482
11.99;-0.349472
12;-0.244596
12.01;-0.356491
12.02;-0.19565
12.03;-0.2931
12.04;-0.287561
12.05;-0.165401
12.06;-0.218771
12.07;-0.346348
12.08;-0.295577
12.09;-0.351073
12.1;-0.237429
12.11;-0.193968
12.12;-0.14363
12.13;-0.244749
12.14;-0.218806
12.15;-0.371234
12.16;-0.0783164
12.17;-0.278155
12.18;-0.184669
12.19;-0.353088
12.2;-0.0958303
12.21;-0.176301
12.22;-0.0314515
12.23;-0.187632
12.24;-0.0592266
12.25;-0.264838
12.26;-0.0665003
12.27;-0.214529
12.28;-0.0834347
12.29;-0.270239
12.3;0.00980208
12.31;-0.0958896
12.32;-0.0696428
12.33;0.0294642
12.34;-0.182174
12.35;-0.158939
12.36;0.0537243
12.37;0.113393
12.38;0.000342314
12.39;-0.0783139
12.4;-0.0829501
12.41;-0.0912128
12.42;-0.135313
12.43;-0.0985628
12.44;0.116391
12.45;0.08919
12.46;-0.0355748
12.47;0.129832
12.48;0.226953
12.49;0.186459
12.5;0.174191
12.51;0.185941
12.52;0.0556418
12.53;0.178852
12.54;0.0250129
12.55;0.0136734
12.56;0.255126
12.57;0.29011
12.58;0.121194
12.59;0.150828
12.6;0.32273
12.61;0.090881
12.62;0.338486
12.63;0.193603
12.64;0.384468
12.65;0.410683
12.66;0.279256
12.67;0.339649
12.68;0.415706
12.69;0.161381
12.7;0.133248
12.71;0.194778
12.72;0.255614
12.73;0.173451
12.74;0.261786
12.75;0.194279
12.76;0.408271
12.77;0.361848
12.78;0.449741
12.79;0.417502
12.8;0.320555
